Dt. ins.,Note interne 1,Soggetto,Ragione sociale,Contatto,Operatore,Categoria
2025-09-19,"Ho appena parlato con la cliente che mi chiedeva della ns chiusura aziendale per le ferie estive e di quando sarei stata io in ferie (le ho anche detto che sono cmq raggiungibile al cell). Questo perché il suo cliente ha accettato la ns offerta in allegato, non sapeva ancora tutti i dettagli se vetro trasparente o satinato, dovrebbe trattarsi di 10K pezzi CRISTAL 100 ML,  vorrebbe entro prossima settimana mandarci l’ordine.  Forse ci farà della serigrafia da fare, spero mi confermi il tutto a breve. Ovviamente le ho suggerito di affrettarsi con l’invio dell’ordine data la stagione estiva.

15/07
l'ho risentita per ordine CRISTAL 100 ML, sono in attesa di riscontro da parte del cliente, entro prox settimana spera di potermi dire qualcosa. E' a conoscenza del rallentamento di agosto.

28/07
Risentita oggi per modifica offerta in corso, aggiungendo altri range  e relativa quotazione. Mi deve ancora dire del Cristal 100ML.

29/07
richiamata oggi per il CRISTAL 100 ML, non ha anocra riscontro, òe ho chiesto di verificare. Altra ofefrta per vaso ambra VT 15ML.

30/07
per la nuova offerta preparata attendo i prezzi di spedizione, ho spiegato alla cliente che non appena li avremo, potremo mandarle l'offerta.

28/08
Ricontattata oggi la cliente per avere riscontro sulle due offerte di recente inviate ed anche per sapere della campionatura CRISTAL	FLACONE 100 ML	24/410 VS per l quale attendeva riscontro dal cliente. Domani la richiamo.

29/08
Ho provato a ricontattarla oggi ma purtroppo non ho trovato nessuno. Prox settimana dovrebbero esserci tutti.

01/09
Finalmente contattata, per tutti i punti aperti al massimo entro domani mi dà riscontro. 

02/09
Sempre per le offerte in corso l'ho richiamata...mi ha rimandata a domani.

03/09
Per offerte peneding ricontattata oggi, ancora non ha riscontro.

10/09
Parlato questa mattina con Nagel, chiede di tenere le offerte ancora on hold, siamo d'accordo la richiamo prox giovedi 18/09.

18/09
Chiamata cliente, offerta nr 250353 chiusa, il cliente finale si è indirizzato verso altra forma di pac vetro. Ho sollecitato riscontro sulle altre due offerte pending. 
 
19/09
Mi ha richiesto di chiudere entrambi i progetti, il cliente pare abbia bisogno di più tempo e soprattutto è abituato ad altro design, quindi per ora preferisce chiudere entrambi i progetti.  ",9355,HUTTENLOCHER  GMBH,JESSICA NAGEL,Alessandra,Contatto Cliente
2025-09-19,"15/09
Cliente con cui non condividevamo più offete dal 2019, parlato con uff. acquisti, aggiornata anagrafica, mando email con catalogo.

16/09
Cliente ha risposto al mio contatto, ho provato a contattarli nuovamente ma oggi non sono reperibili. Ho chiesto incontro per ottobre.

19/09
Ennesimo tentativo di chiamata oggi, ho nuovamente lasciato messagio in segreteria per prendere appuntamento per andare da loro.",104,DR. BABOR GMBH & CO. KG,Bastian Käsmacher/Annika Opree,Alessandra,Azione Commerciale
2025-09-19,"19/09
Tentivo di contatto, cliente con il quale abbiamo condiviso ultima offerta nel 2020, non avendo ricevuto risposta, ho scritto ad info.",3259,SAREM COSMETICS,,Alessandra,Azione Commerciale
2025-09-19,"19/09
Tentativo di contatto, breve prersentazione azienda e prodotti, mi hanno chiesto email con company presentazione e catalogo.     ",3288,MANN & SCHROEDER GMBH,,Alessandra,Azione Commerciale
2025-09-19,"19/09
Tentivo di contatto, non avendo ricevuto risposta, ho scritto ad info.",4431,HARTMANN COSMETICS GMBH,,Alessandra,Azione Commerciale
2025-09-19,Chiamata la cliente per avere info sul ritiro campioni ma nessuna risposta. Inviata email di sollecito,15202,ARTISTIC DAMA Ltd,Mrs. Mariana,Rachida,Contatto Cliente
2025-09-19,Chiamato ma nessuna risposta. Inviata email di presentazione con catalogo.,8283,NANO TRADE SP.ZO.O,Mr. Bogdan,Rachida,Contatto Cliente
2025-09-19,Parlato con il centralino che mi ha fornito il contatto email del responsabile marketing a cui ho mandato email di presentazione & catalogo,8285,PROCONCEPT LABS SP. ZO.O.,Mrs. Monika,Rachida,Contatto Cliente
2025-09-19,Chiamato diversi numeri ma senza risposta. Invio email di presentazione con catalogo,8286,ORGANIC SERIES,,Rachida,Contatto Cliente
2025-09-19,Chiamato diversi numeri ma senza risposta. Invio email di presentazione con catalogo.,8290,GLOBAL COSMED GROUP SP.ZOO.SP.K.,,Rachida,Contatto Cliente
2025-09-22,"PRESENTATA AZIENDA
INVIATO CATALOGO E COMPANY PROFILE",15325,NISI NOS - S.R.L.,,Rachele,Azione Commerciale
2025-09-22,"PRESENTATA AZIENDA
INVIATO CATALOGO E COMPANY PROFILE",15326,STELE S.A.S. DI MARZUFERO STEFANIA & C.,,Rachele,Azione Commerciale
2025-09-22,"PRESENTATA AZIENDA
INVIATO CATALOGO E COMPANY PROFILE",15327,DOASTUDIO DI CAFAGNA GIUSEPPE,,Rachele,Azione Commerciale
2025-09-22,"PRESENTATA AZIENDA
INVIATO CATALOGO E COMPANY PROFILE",15328,DI LENARDO COSMETICS SRL,,Rachele,Azione Commerciale
2025-09-22,"PRESENTATA AZIENDA
INVIATO CATALOGO E COMPANY PROFILE",15329,CA DA SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFI,,Rachele,Azione Commerciale
2025-09-22,"PRESENTATA AZIENDA
INVIATO CATALOGO E COMPANY PROFILE",15330,ANNAB. SOCIETA' A RESPONSABILITA' LIMITATA,,Rachele,Azione Commerciale
2025-09-22,"PRESENTATA AZIENDA
INVIATO CATALOGO E COMPANY PROFILE",15331,GINI FRAGRANZE DI FRANCESCO GINI,,Rachele,Azione Commerciale
2025-09-22,"PRESENTATA AZIENDA
INVIATO CATALOGO E COMPANY PROFILE",12165,KIBILUX SRL,,Rachele,Azione Commerciale
2025-09-22,"SEGUITO INCONTRO CON AZIENDA A PITTI FRAGRANZE SEGNALANO CHE SU NS FLACONE UTILIZZANO DROPPER (NON NS) CHE HA PROBLEMI CON EROGAZIONE
LA CLIENTE SEGNALAN CHE VALUTANO ANCHE POMPA DISPENSER
INVIO CAMPIONI DI DROPPER/POMPE/AIRLESS",10428,HOBE PERGH SRL,,Rachele,Contatto Cliente
2025-09-22,"PROGETTO PROFUMERIA PICCOLI QUANTITATIVI 
30/50ML + SPRAY ARGENTO
VERNICIATURA
DECORO (FORSE)",14050,INTERCOINS SPA INTGIFT DIVISION,,Rachele,Contatto Cliente
2025-09-22,"29/09
Su loro richiesta ho provato a contattarli oggi in riefrimento al file per recuperare i loro codici articoli. La sig. Frigan oggi non è disponibile, ho invaito mail, la richiamo lunedi.

19/09
Sentito il cliente per la compilazione del file, segnalano che alcuni articoli non corrispondono alla loro ricerca, di quelli che sono stati correttamente identificati gli ho anche già mandato le relative schede tecniche.

22/09
Chiamata con la cliente per domande sul file che le ho trasmesso.",2763,ARTDECO COSMETIC GMBH,ANITA FRIGAN,Alessandra,Contatto Cliente
2025-09-22,"Cliente registrato nel 2024, al momento non abbiamo ordini fatturati con loro, offerta in corso, ci siamo sentite per il dispense plaisir nero, foto inviata. Prox settmana richimao per riscontro offerta.

02/09
CHIAMATA PER OFFERTA IN CORSO. E' interessata solo al dispenser perchè di flaconi ne hanno ancora in stock, mi ha chiesto alternative al Plaisir, le ho proposto il new cristal, inviate foto, mi deve dire se modificare l'offerta aggioungendo il new cristal.

03/09
Mi ha richiamata per riscontro foto, mi ha spiegato che il bulk sarà una body lotion uomo abbastanza densa, ha bidogno quindi di certa erogazione nell pompa, mi cheideva il plaisir o il griffe da 700 ma purtroppo per il vetro non va. Opzioni sarebbero Plaisir da 200 MCL e VENICE/ SAPHIR DA da 400 MCL ma per quest'ultimo non ne conosco la tempistica, da verificare con Bettina.

04/09
Mi ha richiamata per conferma invio campioni, le ho spiegato che la pompa 700 MCL non può essere apposta su flacone vetro new cristal 050ml, quindi riceve campioni pompa new cristal, plaisir e saphir.

09/09
Sentita oggi, ha ricevuto i campioni, segnala segnala un problema di aderenza della cover al dispenser new cristal, nel senso che viene via facilmente. Segnalato alla qualità. Preparao offerta per dispenser new cristal e plaisir. 

11/09
telefonata con la cliente, abbiamo rivisto insieme l'offerta, probabilmente prende anche il flac. new cristal VT 050, oltre i new cristal dispenser e le cover, devo però indicarle una tempistica di consegna.

15/09
Richiesta ulteriore modifca offerta in corso, anagrafica aggiornata con nuovo numero di telefono.

22/09
mi ha chiamato la cliente per comunicarmi che l'offerta era ok e proseguiva con ordine.",13770,VITAL LIFE GMBH,Ingeborg Klein,Alessandra,Contatto Cliente
2025-09-22,"22/09
Contattato cliente con cui al momento sono state scambiate solo offerte, ultima del febb. 2025, mi hanno chiesto di inviare nuovamente il catalogo, conoscono la Vetronaviglio, ho dato la disponibilità a mostare i prodotti soprattutto le novità. ",3362,SYSTEM KOSMETIK,Yasmina El Noubi,Alessandra,Azione Commerciale
2025-09-22,"15/09
Cliente con cui non condividevamo più offete dal 2019, parlato con uff. acquisti, aggiornata anagrafica, mando email con catalogo.

16/09
Cliente ha risposto al mio contatto, ho provato a contattarli nuovamente ma oggi non sono reperibili. Ho chiesto incontro per ottobre.

19/09
Ennesimo tentativo di chiamata oggi, ho nuovamente lasciato messagio in segreteria per prendere appuntamento per andare da loro.

22/09
Riprovato anche oggi, però non riesco a mettermi in contattato con Opree. Ho lasciato nuovamente messaggio.",104,DR. BABOR GMBH & CO. KG,Bastian Käsmacher/Annika Opree,Alessandra,Azione Commerciale
2025-09-22,"22/09

Parlato direttamente con Kloubert, sembra interessato ai ns prodotti, alle novità, mi sono resa disponibile ad incontrarlo di persona in caso di sua disponibilità. Mi ha chiesto email con catalogo e company presentation.",2103,INSPIRA COSMETICS GMBH,VOLKER KLOUBERT ,Alessandra,Azione Commerciale
2025-09-22,"22/09
Tentivo di contatto, per oggi sono solo riuscita a parlare con centralino, mi hanno chiesto di richiamare domani per l'ufficio acquisti.",2143,JEAN PIERRE ROSSELET COSMETICS AG,PETRA OSIS,Alessandra,Azione Commerciale
2025-09-22,"15/09
Cliente con cui non condividevamo più offete dal 2019, parlato con uff. acquisti, aggiornata anagrafica, mando email con catalogo.

16/09
Cliente ha risposto al mio contatto, ho provato a contattarli nuovamente ma oggi non sono reperibili. Ho chiesto incontro per ottobre.

19/09
Ennesimo tentativo di chiamata oggi, ho nuovamente lasciato messagio in segreteria per prendere appuntamento per andare da loro.

22/09
Riprovato anche oggi, però non riesco a mettermi in contattato con Opree. Ho lasciato nuovamente messaggio.

Seconda chiamata al cliente, richiamo mercoledi.",104,DR. BABOR GMBH & CO. KG,Bastian Käsmacher/Annika Opree,Alessandra,Azione Commerciale
2025-09-22,Parlato del nuovo progetto pompe ed è interessata a ricevere dei campioni per eseguire tests compatibilità e il qty potrebbe essere 5K pz o di più.,11488,ALAPALLA S.R.O. ,Mrs. Katka,Rachida,Contatto Cliente
2025-09-22,Chiamato diverse volte ma suona senza risposta. Inviata un'email con catalogo e presentazione.,8291,PPH CHANTAL,Mr. Demus,Rachida,Contatto Cliente
2025-09-23,Parlato con il cliente e chiesto di inviare un'email con catalogo.Così è stato fatto.,8300,LANWAR COSMETICS SP. Z.O.O.,Mr. Robert,Rachida,Contatto Cliente
2025-09-23,Parlato con Monika che informa di non lavorare più in questa azienda ma allo stesso momento ho mandato un'email di presentazione con il catalogo in caso di un futuro interesse. Ho chiamato anche gli altri numeri presenti in anagrafica e quelli sul sito ma nessuna riposta.,8301,DELAWELL CAMINO SP.ZO.O,Mrs. Monika,Rachida,Contatto Cliente
2025-09-23,Parlato con il centralino che parla solo polacco e per cui si è interrotta la telefonata. Ho inviato un'email di presentazione con catalogo.,8303,NANTES NANOLABORATORY,Mrs. Marta,Rachida,Contatto Cliente
2025-09-23,Parlato con il cliente e mi ha scritto il suo indirizzo email via messaggio al fine di potergli inviare il catalogo e così è stato fatto.,8305,ADEX COSMETICS & PHARMA,Mr. Adrian,Rachida,Contatto Cliente
2025-09-23,Parlato con il cliente che vuole ricevere dei campioni e anche offerta di flaconi ,15319,CAVOSOL,Mr. Mihail,Rachida,Contatto Cliente
2025-09-23,"START UP della svizzera italiana
candele e home decor
interessati a realizzare candele in vasi ambra 200/400
verranno a trovarci il 7 ottobre perchè di passaggio
pochi pezzi",15333,NUDOR,,Rachele,Azione Commerciale
2025-09-24,"presentazione azienda
il cliente valuta cambio pack",15334,Vamoss s.a.s di Leonardo Pipitone,,Rachele,Azione Commerciale
2025-09-24,Parlato con il cliente riguardo i campioni pronti e chiesto di fare una quotazione di trasporto per approvazione,10708,AMALGAMATED EURO PRODUCTS UK LTD,Mr. Mike,Rachida,Contatto Cliente
2025-09-24,Parlato con il cliente che vuole l'offerta di alcuni articoli inviati via email prima di ricevere dei campioni,15319,CAVOSOL,Mr. Mihail,Rachida,Contatto Cliente
2025-09-24,"22/09
Tentivo di contatto, per oggi sono solo riuscita a parlare con centralino, mi hanno chiesto di richiamare domani per l'ufficio acquisti.

24/09
Tentativo di contatto, mi hanno chiesto di richiamare dopo pranzo per comunicare con ufficio acquisti.
",2143,JEAN PIERRE ROSSELET COSMETICS AG,PETRA OSIS,Alessandra,Azione Commerciale
2025-09-24,"15/09
Cliente con cui non condividevamo più offete dal 2019, parlato con uff. acquisti, aggiornata anagrafica, mando email con catalogo.

16/09
Cliente ha risposto al mio contatto, ho provato a contattarli nuovamente ma oggi non sono reperibili. Ho chiesto incontro per ottobre.

19/09
Ennesimo tentativo di chiamata oggi, ho nuovamente lasciato messagio in segreteria per prendere appuntamento per andare da loro.

22/09
Riprovato anche oggi, però non riesco a mettermi in contattato con Opree. Ho lasciato nuovamente messaggio.

Seconda chiamata al cliente, richiamo mercoledi.

24/09
Ennesima chiamata, altro messaggio lasciato. Neanche l'altro collega dell'uff. acquisti è disponibile.",104,DR. BABOR GMBH & CO. KG,Bastian Käsmacher/Annika Opree,Alessandra,Azione Commerciale
2025-09-24,"22/09
Tentivo di contatto, per oggi sono solo riuscita a parlare con centralino, mi hanno chiesto di richiamare domani per l'ufficio acquisti.

24/09
Tentativo di contatto, mi hanno chiesto di richiamare dopo pranzo per comunicare con ufficio acquisti.

Seconda chiamata, dall'ufficio acquisti mi hanno chietso di inviare email e catalogo per ora.",2143,JEAN PIERRE ROSSELET COSMETICS AG,PETRA OSIS,Alessandra,Azione Commerciale
2025-09-24,"Cliente registrato nel 2024, al momento non abbiamo ordini fatturati con loro, offerta in corso, ci siamo sentite per il dispense plaisir nero, foto inviata. Prox settmana richimao per riscontro offerta.

02/09
CHIAMATA PER OFFERTA IN CORSO. E' interessata solo al dispenser perchè di flaconi ne hanno ancora in stock, mi ha chiesto alternative al Plaisir, le ho proposto il new cristal, inviate foto, mi deve dire se modificare l'offerta aggioungendo il new cristal.

03/09
Mi ha richiamata per riscontro foto, mi ha spiegato che il bulk sarà una body lotion uomo abbastanza densa, ha bidogno quindi di certa erogazione nell pompa, mi cheideva il plaisir o il griffe da 700 ma purtroppo per il vetro non va. Opzioni sarebbero Plaisir da 200 MCL e VENICE/ SAPHIR DA da 400 MCL ma per quest'ultimo non ne conosco la tempistica, da verificare con Bettina.

04/09
Mi ha richiamata per conferma invio campioni, le ho spiegato che la pompa 700 MCL non può essere apposta su flacone vetro new cristal 050ml, quindi riceve campioni pompa new cristal, plaisir e saphir.

09/09
Sentita oggi, ha ricevuto i campioni, segnala segnala un problema di aderenza della cover al dispenser new cristal, nel senso che viene via facilmente. Segnalato alla qualità. Preparao offerta per dispenser new cristal e plaisir. 

11/09
telefonata con la cliente, abbiamo rivisto insieme l'offerta, probabilmente prende anche il flac. new cristal VT 050, oltre i new cristal dispenser e le cover, devo però indicarle una tempistica di consegna.

15/09
Richiesta ulteriore modifca offerta in corso, anagrafica aggiornata con nuovo numero di telefono.

22/09
mi ha chiamato la cliente per comunicarmi che l'offerta era ok e proseguiva con ordine.

24/09
Mi ha chiesto di richiamarla perchè sull'offerta non le era chiaro il discorso dell'ex works della spedizione, inoltre mi ha anticpato di un'altra richiesta che potrebbe inviarci più avanti, quando ha maggiori dettagli mi contatta.   ",13770,VITAL LIFE GMBH,Ingeborg Klein,Alessandra,Contatto Cliente
2025-09-24,"24/09
Mi ha contattata Ramona wper chiedere offerta per Pipette per New Crystal 30ml Flasche sarinato, 1000 e 2500 pz, ha bisogbo quanto prima dei prezzi.",3321,CNC COSMETIC GMBH,Ramona Schönwald,Alessandra,Contatto Cliente
2025-09-24,,,,,stefanob,Azione Commerciale
2025-09-24,,,,,stefanob,Contatto Cliente
2025-09-25,"NUOVO CLIENTE
PRESENTATA AZIENDA",15336,+READY srl,,Rachele,Azione Commerciale
2025-09-25,"PRESENTATA AZIENDA E PRODOTTI
INVIO CATALOGO EN ALCUNE PROPOSTE AIRLESS E FLAC PER SIERO",15337,DermaLuxe Srls,,Rachele,Azione Commerciale
2025-09-25,CLIENTE INVIA ORDINE CON NUOVA RAGIONE SOCIALE,13617,INTERCON S.R.L.U.S.,,Rachele,Contatto Cliente
2025-09-25,"22/09

Parlato direttamente con Kloubert, sembra interessato ai ns prodotti, alle novità, mi sono resa disponibile ad incontrarlo di persona in caso di sua disponibilità. Mi ha chiesto email con catalogo e company presentation.

25/09
Sentito anche oggi in seguito alle foto inviate, è molto interessato alle collezioni:  
•	Kappa
•	Giada
•	Boston
•	Flore
  
250ML, mi deve far sapere i quantitativi e procedo con offerta.",2103,INSPIRA COSMETICS GMBH,VOLKER KLOUBERT ,Alessandra,Azione Commerciale
2025-09-25,"25/09
Contattato cliente, mi hanno cheisto di richiamare domani per ufficio acquisti, oggi la persona di riferiemnto non era in ufficio.  ",3233,KIRCHBERGER KOSMETIK GMBH,,Alessandra,Azione Commerciale
